Id,Iq,Lambda_d,Lambda_q
0.0,0.0,251.06,-0.02
2.0818995585505003e-15,34.0,251.05,178.85
4.1637991171010006e-15,68.0,245.58,313.79
6.245698675651501e-15,102.0,236.44,391.37
8.327598234202001e-15,136.0,229.69,444.17
1.0409497792752502e-14,170.0,222.67,487.01
1.2491397351303002e-14,204.0,215.53,525.4
1.4573296909853505e-14,238.0,208.29,561.4
1.6655196468404002e-14,272.0,201.42,595.36
1.8737096026954503e-14,306.0,195.44,627.23
2.0818995585505004e-14,340.0,190.29,657.5
-0.0,0.0,251.06,-0.02
-2.96329525342038,33.87061973511935,245.08,178.15
-5.92659050684076,67.7412394702387,235.47,314.58
-8.88988576026114,101.61185920535804,223.11,392.38
-11.85318101368152,135.4824789404774,212.99,445.71
-14.8164762671019,169.35309867559675,202.37,489.25
-17.77977152052228,203.2237184107161,191.27,528.29
-20.74306677394266,237.09433814583545,180.09,564.73
-23.70636202736304,270.9649578809548,169.88,598.56
-26.66965728078342,304.83557761607415,160.86,630.18
-29.6329525342038,338.7061973511935,152.68,660.28
-0.0,0.0,251.06,-0.02
-5.90403804067563,33.48346360241507,239.12,176.1
-11.80807608135126,66.96692720483014,225.32,313.6
-17.71211412202689,100.45039080724521,209.34,391.63
-23.61615216270252,133.93385440966028,195.49,445.49
-29.520190203378153,167.41731801207536,180.8,489.7
-35.42422824405378,200.90078161449043,165.52,529.26
-41.32826628472941,234.3842452169055,150.74,565.66
-47.23230432540504,267.86770881932057,137.58,599.02
-53.136342366080676,301.35117242173567,125.73,630.21
-59.040380406756306,334.8346360241507,114.72,660.01
-0.0,0.0,251.06,-0.02
-8.799847533485709,32.84147809382832,233.22,172.74
-17.599695066971417,65.68295618765664,215.22,310.79
-26.399542600457128,98.52443428148497,195.34,389.15
-35.199390133942835,131.3659123753133,177.54,443.42
-43.999237667428545,164.20739046914161,158.78,488.25
-52.799085200914256,197.04886856296994,139.65,528.07
-61.59893273439996,229.89034665679827,121.7,563.99
-70.39878026788567,262.7318247506266,105.6,596.68
-79.19862780137139,295.57330284445493,90.85,627.28
-87.99847533485709,328.41478093828323,77.26,656.45
-0.0,0.0,251.06,-0.02
-11.628684873072736,31.949549106720887,227.44,168.07
-23.25736974614547,63.899098213441775,205.25,305.99
-34.88605461921821,95.84864732016266,181.47,384.94
-46.51473949229094,127.79819642688355,159.75,439.4
-58.14342436536368,159.74774553360444,137.21,484.85
-69.77210923843641,191.6972946403253,114.44,524.67
-81.40079411150916,223.6468437470462,93.33,559.86
-93.02947898458189,255.5963928537671,74.15,591.69
-104.65816385765463,287.545941960488,56.65,621.36
-116.28684873072736,319.4954910672089,40.83,649.49
-0.0,0.0,251.06,-0.02
-14.369020899183777,30.8144647592461,221.82,162.15
-28.738041798367554,61.6289295184922,195.43,298.96
-43.107062697551335,92.4433942777383,167.89,378.96
-57.47608359673511,123.2578590369844,142.32,433.29
-71.84510449591889,154.0723237962305,116.24,479.3
-86.21412539510267,184.8867885554766,90.06,518.99
-100.58314629428644,215.70125331472272,65.83,553.38
-114.95216719347022,246.5157180739688,43.77,584.17
-129.32118809265398,277.3301828332149,23.95,612.56
-143.69020899183778,308.144647592461,5.55,639.55
-0.0,0.0,251.06,-0.02
-16.999999999999993,29.444863728670917,216.4,155.0
-33.999999999999986,58.889727457341834,185.72,289.34
-50.99999999999998,88.33459118601274,154.68,371.03
-67.99999999999997,117.77945491468367,125.39,425.04
-84.99999999999996,147.2243186433546,95.89,471.27
-101.99999999999996,176.6691823720255,66.52,510.86
-118.99999999999994,206.1140461006964,39.34,544.47
-135.99999999999994,235.55890982936734,14.79,574.05
-152.99999999999994,265.00377355803823,-7.54,601.09
-169.99999999999991,294.4486372867092,-28.7,626.82
-0.0,0.0,251.06,-0.02
-19.50159883593557,27.851169505825716,211.23,146.67
-39.00319767187114,55.70233901165143,176.02,276.57
-58.50479650780671,83.55350851747716,141.82,360.79
-78.00639534374228,111.40467802330286,109.02,414.53
-97.50799417967785,139.25584752912857,76.17,460.36
-117.00959301561342,167.1070170349543,43.82,500.03
-136.51119185154897,194.95818654078002,13.97,532.88
-156.01279068748457,222.80935604660573,-13.11,561.2
-175.51438952342014,250.66052555243147,-38.21,586.86
-195.0159883593557,278.51169505825715,-62.21,611.16
-0.0,0.0,251.06,-0.02
-21.85477872934234,26.045511066045254,206.35,137.23
-43.70955745868468,52.09102213209051,166.48,260.6
-65.56433618802701,78.13653319813575,129.16,347.53
-87.41911491736936,104.18204426418102,93.17,401.45
-109.2738936467117,130.22755533022627,57.06,446.41
-131.12867237605403,156.2730663962715,21.77,485.76
-152.98345110539637,182.31857746231677,-10.67,518.17
-174.8382298347387,208.36408852836203,-40.49,545.28
-196.69300856408105,234.40959959440727,-68.33,569.48
-218.5477872934234,260.45511066045253,-95.05,592.23
-0.0,0.0,251.06,-0.02
-24.041630560342615,24.041630560342618,201.8,126.75
-48.08326112068523,48.083261120685236,157.34,241.87
-72.12489168102785,72.12489168102785,116.38,329.95
-96.16652224137046,96.16652224137047,77.69,385.09
-120.20815280171307,120.20815280171308,38.63,429.14
-144.2497833620557,144.2497833620557,0.48,467.66
-168.2914139223983,168.29141392239833,-34.83,499.53
-192.33304448274092,192.33304448274095,-67.54,525.73
-216.37467504308353,216.37467504308356,-98.33,548.3
-240.41630560342614,240.41630560342617,-127.9,569.17
-0.0,0.0,251.06,-0.02
-26.04551106604525,21.854778729342343,197.62,115.29
-52.0910221320905,43.709557458684685,148.8,220.79
-78.13653319813575,65.56433618802703,103.54,306.99
-104.182044264181,87.41911491736937,62.2,363.84
-130.22755533022624,109.27389364671171,20.84,407.83
-156.2730663962715,131.12867237605406,-19.91,445.5
-182.31857746231674,152.9834511053964,-58.37,476.58
-208.364088528362,174.83822983473874,-94.46,501.85
-234.40959959440724,196.69300856408108,-128.47,522.63
-260.4551106604525,218.54778729342343,-160.04,541.54
-0.0,0.0,251.06,-0.02
-27.851169505825723,19.50159883593556,193.84,102.95
-55.702339011651446,39.00319767187112,141.0,197.7
-83.55350851747717,58.50479650780669,91.54,279.35
-111.40467802330289,78.00639534374224,46.21,335.62
-139.25584752912863,97.50799417967781,2.73,379.47
-167.10701703495434,117.00959301561338,-40.02,417.16
-194.95818654078008,136.51119185154894,-81.39,448.21
-222.80935604660579,156.01279068748448,-120.73,472.91
-250.66052555243152,175.51438952342005,-156.73,492.84
-278.51169505825726,195.01598835935562,-187.38,510.66
-0.0,0.0,251.06,-0.02
-29.444863728670917,16.999999999999996,190.5,89.81
-58.889727457341834,33.99999999999999,134.05,172.88
-88.33459118601274,50.99999999999999,80.76,247.01
-117.77945491468367,67.99999999999999,31.06,302.5
-147.2243186433546,84.99999999999999,-15.85,342.8
-176.6691823720255,101.99999999999999,-61.3,378.02
-206.1140461006964,118.99999999999999,-105.15,409.3
-235.55890982936734,135.99999999999997,-145.98,435.23
-265.00377355803823,152.99999999999997,-181.73,456.4
-294.4486372867092,169.99999999999997,-213.03,473.41
-0.0,0.0,251.06,-0.02
-30.814464759246096,14.369020899183782,187.62,75.98
-61.62892951849219,28.738041798367565,128.01,146.58
-92.44339427773829,43.10706269755135,71.42,210.74
-123.25785903698439,57.47608359673513,17.79,264.54
-154.07232379623048,71.84510449591892,-32.29,302.47
-184.88678855547658,86.2141253951027,-80.7,333.42
-215.7012533147227,100.58314629428648,-126.89,361.19
-246.51571807396877,114.95216719347026,-168.24,387.08
-277.3301828332149,129.32118809265404,-206.17,408.6
-308.14464759246096,143.69020899183784,-239.67,424.18
-0.0,0.0,251.06,-0.02
-31.949549106720884,11.628684873072743,185.25,61.55
