d축자속,0,34,68,102,136,170,204,238,272,306,340
90,135.87,142.15,141.69,139.61,137.36,135.22,132.78,130.58,128.37,125.11,122.91
95,135.87,140.16,138.45,136.25,133.34,129.97,126.61,123.20,120.47,117.21,113.96
100,135.87,138.45,135.33,131.76,128.15,123.91,120.75,116.41,112.64,108.87,105.10
105,135.87,136.64,132.10,127.45,122.89,117.92,113.34,109.16,104.88,100.07,95.79
110,135.87,135.08,128.77,123.20,117.64,112.13,106.19,101.44,97.19,91.88,86.04
115,135.87,133.23,125.95,119.17,112.63,106.20,99.92,93.46,89.03,82.70,76.37
120,135.87,131.93,122.90,115.38,107.75,100.57,93.18,86.21,79.96,74.12,66.78
125,135.87,129.83,120.24,111.01,102.60,94.59,86.45,78.72,71.04,64.77,57.80
130,135.87,128.75,117.43,106.59,97.31,88.61,79.99,71.25,62.73,54.88,47.53
135,135.87,127.03,113.87,103.00,92.53,82.89,73.48,64.01,54.85,45.70,37.12
140,135.87,125.51,111.92,99.52,88.35,77.43,66.89,56.73,46.97,37.37,27.75
145,135.87,124.50,109.46,96.29,83.55,71.66,60.56,49.89,38.98,28.50,18.66
150,135.87,123.35,107.51,92.79,79.21,66.71,54.73,42.93,31.41,20.26,9.19
155,135.87,121.99,105.84,90.70,76.05,62.60,49.41,36.50,24.36,12.24,0.51
160,135.87,121.43,104.69,88.56,72.81,58.49,44.61,31.12,17.99,5.21,-7.37
165,135.87,120.18,103.17,86.50,70.16,54.91,40.39,25.87,12.28,-0.90,-14.14
170,135.87,119.91,102.18,85.43,68.84,52.13,37.13,22.48,7.90,-5.70,-19.26
175,135.87,119.20,101.20,83.98,67.07,50.82,35.38,20.25,5.39,-8.99,-22.67
180,135.87,118.47,100.57,83.25,66.54,49.89,34.06,18.93,4.18,-10.31,-23.99
