X	Y	number of block type 	mesh size 	associated circuit 	Magnetization direction	 group	number turns  Constraint	flag
66.2	4.5	1	-1	0	0	1	1	0
-1.2	1.2	1	-1	0	0	1	1	0
40.8	20.7	1	-1	0	0	1	1	0
43.5	14.4	1	-1	0	0	1	1	0
49.6	40.1	1	-1	0	0	1	1	0
53	36	1	-1	0	0	1	1	0
51.7	22.4	1	-1	0	0	1	1	0
52.5	20.8	1	-1	0	0	1	1	0
63	12.3	1	-1	0	0	1	1	0
63.6	6.6	1	-1	0	0	1	1	0
36	53.1	1	-1	0	0	1	1	0
39.9	49.6	1	-1	0	0	1	1	0
22.9	51.8	1	-1	0	0	1	1	0
21.1	52.7	1	-1	0	0	1	1	0
12.1	62.9	1	-1	0	0	1	1	0
7	63.5	1	-1	0	0	1	1	0
14.3	43.5	1	-1	0	0	1	1	0
20.5	41.5	1	-1	0	0	1	1	0
-7	63.3	1	-1	0	0	1	1	0
-14.8	44.1	1	-1	0	0	1	1	0
-20.6	41.3	1	-1	0	0	1	1	0
-40.2	50	1	-1	0	0	1	1	0
-35.8	53.4	1	-1	0	0	1	1	0
-22.5	52.1	1	-1	0	0	1	1	0
-20.9	53.4	1	-1	0	0	1	1	0
-11.7	62.9	1	-1	0	0	1	1	0
-49.4	40	1	-1	0	0	1	1	0
-40.8	21	1	-1	0	0	1	1	0
-42.9	14.5	1	-1	0	0	1	1	0
-63.3	7.1	1	-1	0	0	1	1	0
-63.3	12.1	1	-1	0	0	1	1	0
-52.5	20.5	1	-1	0	0	1	1	0
-51.7	22.9	1	-1	0	0	1	1	0
-53.1	36.2	1	-1	0	0	1	1	0
-63.8	-6.8	1	-1	0	0	1	1	0
-44.1	-14.4	1	-1	0	0	1	1	0
-41.3	-20.4	1	-1	0	0	1	1	0
-49.8	-39.9	1	-1	0	0	1	1	0
-53.6	-36	1	-1	0	0	1	1	0
-51.9	-22.8	1	-1	0	0	1	1	0
-52.8	-20.9	1	-1	0	0	1	1	0
-63.2	-12.1	1	-1	0	0	1	1	0
-40.6	-49.8	1	-1	0	0	1	1	0
-21.7	-41.9	1	-1	0	0	1	1	0
-14.6	-43.3	1	-1	0	0	1	1	0
-36.5	-53.3	1	-1	0	0	1	1	0
-22.9	-52.1	1	-1	0	0	1	1	0
-21.3	-53.1	1	-1	0	0	1	1	0
-12.1	-62.9	1	-1	0	0	1	1	0
-6.8	-63.3	1	-1	0	0	1	1	0
7.2	-63.4	1	-1	0	0	1	1	0
13.2	-44.9	1	-1	0	0	1	1	0
23.6	-41.4	1	-1	0	0	1	1	0
40.1	-49.8	1	-1	0	0	1	1	0
35.7	-53.3	1	-1	0	0	1	1	0
22.4	-51.9	1	-1	0	0	1	1	0
20.9	-52.7	1	-1	0	0	1	1	0
50	-40.6	1	-1	0	0	1	1	0
40.2	-21.3	1	-1	0	0	1	1	0
53.4	-36.3	1	-1	0	0	1	1	0
45.4	-15.2	1	-1	0	0	1	1	0
63.3	-6.6	1	-1	0	0	1	1	0
63.1	-12.1	1	-1	0	0	1	1	0
52.3	-20.6	1	-1	0	0	1	1	0
51.7	-22.5	1	-1	0	0	1	1	0
11.8	-63.3	1	-1	0	0	1	1	0
45.3	31.8	2	-1	0	-23.5	1	1	0
52.8	29.7	2	-1	0	-5.5	1	1	0
54	9.6	2	-1	0	68.5	1	1	0
57.6	16.9	2	-1	0	50.5	1	1	0
32.6	45.1	2	-1	0	-66.5	1	1	0
28.9	51.7	2	-1	0	-84.5	1	1	0
17.4	57.2	2	-1	0	-129.5	1	1	0
8.3	55.6	2	-1	0	201.5	1	1	0
-8.5	55.9	2	-1	0	158.5	1	1	0
-30.7	44.5	2	-1	0	66.5	1	1	0
-30.4	52.8	2	-1	0	84.5	1	1	0
-16.1	58.8	2	-1	0	140.5	1	1	0
-46.3	32.2	2	-1	0	23.5	1	1	0
-51.1	10.5	2	-1	0	-68.5	1	1	0
-57.9	17.2	2	-1	0	-39.5	1	1	0
-52.4	29	2	-1	0	5.5	1	1	0
-58.8	-8.7	2	-1	0	-111.5	1	1	0
-42.7	-27.3	2	-1	0	156.5	1	1	0
-53	-29.5	2	-1	0	174.5	1	1	0
-55.6	-18	2	-1	0	-129.5	1	1	0
-35.1	-47.6	2	-1	0	113.5	1	1	0
-11.2	-51.2	2	-1	0	21.5	1	1	0
-29.6	-52.5	2	-1	0	95.5	1	1	0
8.9	-57	2	-1	0	-21.5	1	1	0
28.5	-52.8	2	-1	0	-95.5	1	1	0
17.2	-55.9	2	-1	0	-39.5	1	1	0
46.3	-34.6	2	-1	0	203.5	1	1	0
52.9	-31	2	-1	0	185.5	1	1	0
50	-12.5	2	-1	0	111.5	1	1	0
57.8	-15.8	2	-1	0	140.5	1	1	0
-16.9	-57.6	2	-1	0	50.5	1	1	0
30.7	-45.2	2	-1	0	-113.5	1	1	0
73.1	4.4	3	-1	1	0	2	8	0
74.2	15.2	3	-1	3	0	2	-8	0
73.3	24.6	3	-1	3	0	2	-8	0
66.6	33.1	3	-1	2	0	2	8	0
63.2	41.6	3	-1	2	0	2	8	0
56.3	49.5	3	-1	1	0	2	-8	0
50.1	56.8	3	-1	1	0	2	-8	0
42.1	63.1	3	-1	3	0	2	8	0
33.4	68	3	-1	3	0	2	8	0
24.4	71.5	3	-1	2	0	2	-8	0
14.6	74.1	3	-1	2	0	2	-8	0
5	76.2	3	-1	1	0	2	8	0
-5.4	76.3	3	-1	1	0	2	8	0
-14.5	74.9	3	-1	3	0	2	-8	0
-24.2	71.9	3	-1	3	0	2	-8	0
-33.4	67.8	3	-1	2	0	2	8	0
-42.1	63.1	3	-1	2	0	2	8	0
-49.4	56.6	3	-1	1	0	2	-8	0
-56.7	50.1	3	-1	1	0	2	-8	0
-63.1	41.8	3	-1	3	0	2	8	0
-67.1	33.4	3	-1	3	0	2	8	0
-71.5	23.7	3	-1	2	0	2	-8	0
-74.2	15	3	-1	2	0	2	-8	0
-75.1	5	3	-1	1	0	2	8	0
-75	-4.5	3	-1	1	0	2	8	0
-74.2	-14.8	3	-1	3	0	2	-8	0
-70.5	-24.7	3	-1	3	0	2	-8	0
-68.1	-33.7	3	-1	2	0	2	8	0
-62.6	-42.3	3	-1	2	0	2	8	0
-56.7	-50.3	3	-1	1	0	2	-8	0
-49.9	-57	3	-1	1	0	2	-8	0
-41.7	-62.6	3	-1	3	0	2	8	0
-33.3	-68	3	-1	3	0	2	8	0
-24	-71.1	3	-1	2	0	2	-8	0
-14.8	-73.2	3	-1	2	0	2	-8	0
-4.8	-74.9	3	-1	1	0	2	8	0
4.8	-75.6	3	-1	1	0	2	8	0
14.2	-73.6	3	-1	3	0	2	-8	0
24.2	-71.3	3	-1	3	0	2	-8	0
33.5	-66.6	3	-1	2	0	2	8	0
41.9	-62.2	3	-1	2	0	2	8	0
49.7	-56.2	3	-1	1	0	2	-8	0
56.5	-49.8	3	-1	1	0	2	-8	0
62.2	-41.7	3	-1	3	0	2	8	0
67.8	-33.2	3	-1	3	0	2	8	0
70	-23.6	3	-1	2	0	2	-8	0
74.9	-15	3	-1	2	0	2	-8	0
76.2	-4.5	3	-1	1	0	2	8	0
31.6	7.7	6	-1	0	0	0	1	0
