Current_A,Laa_Center_uH,Laa_Amplitude_uH,Lab_Center_uH,Lab_Amplitude_uH,Lac_Center_uH,Lac_Amplitude_uH
1,141.99929206647207,0.8682756037378994,-50.997360014752594,0.9139874033285125,-50.99226415230833,0.9152817653896577
5,142.20696828846727,0.6694814977139885,-51.09217119061667,0.7583715633740198,-51.08704464521511,0.7612648219745175
10,142.41564491595375,0.5444962384130463,-51.1802860806555,0.6268689603963828,-51.1751362629504,0.6299643448150292
20,142.61851226268743,0.6046540382307057,-51.252652591028614,0.5789665684236667,-51.247478059176835,0.5824150507587262
30,141.64402584034505,2.8249189073157908,-50.772489981397854,1.7596863784000831,-50.767247898762925,1.7626306808740324
50,131.41074783724352,15.56899277677411,-45.77735616684014,11.286362941416616,-45.772358712742,11.283797704014752
100,115.63505633778293,28.486408612113046,-38.444056844194805,24.803050673577612,-38.4364410725303,24.803718460792524
150,107.10884595026535,32.23716281111297,-35.25271286067958,29.481160451290457,-35.24663569012776,29.48127057431683
200,98.48600935676015,29.800687479861026,-32.823563287953704,28.880929567121367,-32.820229574009474,28.879969613300048
250,89.60036059511722,24.821368980644742,-30.370493942594077,26.069441230900708,-30.369422814076906,26.067838132483185
300,81.97092044441165,20.65451310215012,-28.158119145588923,23.204927572692895,-28.157618639004557,23.202239427686422
350,75.65445407239562,17.50484846330032,-26.299954305466784,20.54870153572132,-26.299810187822562,20.544815676978182
400,70.39097169239078,14.984169320913423,-24.753228651097206,18.33144331402083,-24.75336632052772,18.329111373073047
