Current_A,Laa_Center_uH,Laa_Amplitude_uH,Lab_Center_uH,Lab_Amplitude_uH,Lac_Center_uH,Lac_Amplitude_uH
0,567.3253015383871,3.3784999390317694,-203.93164886808782,3.625646392950358,-203.9112746489109,3.6308030082764446
1,567.3253015383871,3.3784999390317694,-203.93164886808782,3.625646392950358,-203.9112746489109,3.6308030082764446
5,568.9027756318138,2.218046207092698,-204.61965001750062,2.552195947526201,-204.5990703375007,2.564583104489415
10,569.694584483478,2.5575190836933643,-204.89691310544745,2.400509921594306,-204.87622557666745,2.414464569328544
20,544.0845882480903,42.39987748711502,-192.38567967793617,27.993251753762536,-192.36436886297597,27.99557347453107
30,504.22694314163334,81.16516703429616,-173.0593359921721,63.381460385997684,-173.0406007173872,63.395668669902214
50,459.47232606567746,115.5152898864084,-152.73816809626138,100.89055681096275,-152.70652731524007,100.88327580120752
100,388.9326193856365,117.31914106810959,-130.04766909361194,114.56348150652627,-130.03524533930397,114.56066495821491
150,322.322039212388,80.39650702333782,-111.10776489944465,91.07354933767898,-111.10589414485071,91.06217664244797
200,276.2958749567644,58.01245044250648,-97.57392242718903,71.56402000343547,-97.5745580782143,71.55504161429438
250,243.92122468630637,43.34499454157117,-87.89728729449398,57.80469200878647,-87.89941853708885,57.80466001390492
300,220.0388427761249,33.19981957537621,-80.37984314018473,48.02659879181282,-80.38195716480718,48.034118851000116
350,201.50693731199596,26.323535923834,-74.22029428737738,41.329963020302415,-74.22175004280608,41.33825370632188
400,186.5592065295834,22.09506584972968,-68.96185508899124,36.669749371304526,-68.96279687638008,36.66931173923972
