Angle,Phase A,Phase B,Phase C
0.000000000000000000e+00,1.093093774027194959e-01,6.783621433818153079e+00,-7.145593795808602877e+00
1.000000000000000000e+00,2.907607965122469551e-01,6.728204557665148577e+00,-7.375292204921022332e+00
2.000000000000000000e+00,7.941616216774167736e-01,6.619264265811011683e+00,-7.779856621912318637e+00
3.000000000000000000e+00,1.468292759679218795e+00,6.373406475496724788e+00,-8.033417391826162657e+00
4.000000000000000000e+00,2.033205515863903301e+00,5.781758277876138941e+00,-8.201601947756540056e+00
5.000000000000000000e+00,2.312888044297455092e+00,4.884907530037614798e+00,-8.306894797866176461e+00
6.000000000000000000e+00,2.414330435252368012e+00,3.920191717977631551e+00,-8.327393703251413370e+00
7.000000000000000000e+00,2.611350114141086198e+00,3.114831608699947463e+00,-8.351824278054152728e+00
8.000000000000000000e+00,3.113120423524186275e+00,2.612843968564395603e+00,-8.345838138808170825e+00
9.000000000000000000e+00,3.919779706647470441e+00,2.415491397497441461e+00,-8.306222521190230523e+00
1.000000000000000000e+01,4.868767451702052718e+00,2.312030707695757581e+00,-8.242421589954101790e+00
1.100000000000000000e+01,5.766405888585349970e+00,2.035689933058343115e+00,-8.150759725822625867e+00
1.200000000000000000e+01,6.370696328777236239e+00,1.472214741582599462e+00,-8.010974436803765641e+00
1.300000000000000000e+01,6.611610787125934863e+00,7.973428347150144369e-01,-7.750461237900700517e+00
1.400000000000000000e+01,6.714132597319745877e+00,2.980225726478239467e-01,-7.354715261859921860e+00
1.500000000000000000e+01,6.943388726317169635e+00,1.022815484531529144e-02,-6.934749126060673063e+00
1.600000000000000000e+01,7.353637572106233478e+00,-2.751741815654294432e-01,-6.693661148465389843e+00
1.700000000000000000e+01,7.741791638441203105e+00,-7.772833828660301592e-01,-6.576931958365449304e+00
1.800000000000000000e+01,8.007783575222401140e+00,-1.456477732376958878e+00,-6.340030193453923602e+00
1.900000000000000000e+01,8.155064415699753155e+00,-2.025136543458852412e+00,-5.762104043135128251e+00
2.000000000000000000e+01,8.268217403981717339e+00,-2.305814681592329496e+00,-4.873567932983020157e+00
2.100000000000000000e+01,8.342588613003504960e+00,-2.415896969990850351e+00,-3.917163181327924626e+00
2.200000000000000000e+01,8.367406854005691841e+00,-2.614279077052789724e+00,-3.109368594114120921e+00
2.300000000000000000e+01,8.371888239621409156e+00,-3.109605197195984605e+00,-2.611502320060811844e+00
2.400000000000000000e+01,8.299922446645464191e+00,-3.901480969843555080e+00,-2.413072995305098001e+00
2.500000000000000000e+01,8.247292167730766010e+00,-4.865077968555761245e+00,-2.308095819869604437e+00
2.600000000000000000e+01,8.186487641245143720e+00,-5.767719823241904464e+00,-2.026635849621242880e+00
2.700000000000000000e+01,8.020566117892625968e+00,-6.343346437818433436e+00,-1.458987118072323952e+00
2.800000000000000000e+01,7.744385409395063036e+00,-6.577990809905280400e+00,-7.796064803093555318e-01
2.900000000000000000e+01,7.355518170994152172e+00,-6.695859104295998954e+00,-2.753845931604695929e-01
3.000000000000000000e+01,6.951565940472277383e+00,-6.941758279388894337e+00,1.115398348210100941e-02
3.100000000000000000e+01,6.706469822184213392e+00,-7.347304051987952889e+00,2.942107440103206573e-01
3.200000000000000000e+01,6.600726034607923509e+00,-7.744042863803782595e+00,7.945989173026362096e-01
3.300000000000000000e+01,6.360137265879969526e+00,-8.003350169977137440e+00,1.469475795451955280e+00
3.400000000000000000e+01,5.772666954493195668e+00,-8.156046813171560217e+00,2.034556436430246418e+00
3.500000000000000000e+01,4.880942373562125347e+00,-8.247136935937611213e+00,2.312633712296153554e+00
3.600000000000000000e+01,3.919058070604582333e+00,-8.293831087137013114e+00,2.412900200175756904e+00
3.700000000000000000e+01,3.114549830596505142e+00,-8.343712602444631088e+00,2.612274666807345991e+00
3.800000000000000000e+01,2.611116612362434530e+00,-8.355374873671168601e+00,3.115423011529457220e+00
3.900000000000000000e+01,2.415110236743169825e+00,-8.335009807976238250e+00,3.921671571266785339e+00
4.000000000000000000e+01,2.313272569242792009e+00,-8.313250500903796691e+00,4.884923724992318306e+00
4.100000000000000000e+01,2.034460136536699881e+00,-8.201350601916331584e+00,5.780845657282462469e+00
4.200000000000000000e+01,1.471963968846116355e+00,-8.037992623733769548e+00,6.372451939852742164e+00
4.300000000000000000e+01,7.975711436686429012e-01,-7.778723320133674513e+00,6.615196540049208096e+00
4.400000000000000000e+01,4.742937596227581598e-01,-7.591186508432288704e+00,6.664103896536481386e+00
