Angle,Phase A,Phase B,Phase C
0.000000000000000000e+00,1.308333617801567539e-01,-5.944538878128586390e+00,5.588059848628002868e+00
1.500000000000000000e+00,4.538431635184488888e-01,-6.215190136783259156e+00,5.530970177126338427e+00
3.000000000000000000e+00,1.219894505967265674e+00,-6.594748311295838050e+00,5.238252219235143947e+00
4.500000000000000000e+00,1.845843530812224964e+00,-6.745222759022929893e+00,4.430659670407408157e+00
6.000000000000000000e+00,2.075976471608985907e+00,-6.803739478243565841e+00,3.256557428118719510e+00
7.500000000000000000e+00,2.388295728058595024e+00,-6.832855981088986397e+00,2.391202215163873657e+00
9.000000000000000000e+00,3.256402656559996611e+00,-6.797480238103348782e+00,2.075586112433311481e+00
1.050000000000000000e+01,4.425110670534601276e+00,-6.705241017575339413e+00,1.845864595439515421e+00
1.200000000000000000e+01,5.229956245377763047e+00,-6.559836162652005420e+00,1.221691290051934553e+00
1.350000000000000000e+01,5.517060302004204608e+00,-6.187503157383393848e+00,4.580350730746173271e-01
1.500000000000000000e+01,5.740396639554170122e+00,-5.733535979686624984e+00,1.000870244661845355e-02
1.650000000000000000e+01,6.184766298427960329e+00,-5.492597722880371514e+00,-4.417284741823946925e-01
1.800000000000000000e+01,6.562784908526876571e+00,-5.210552452952004643e+00,-1.208286584703858191e+00
1.950000000000000000e+01,6.723722462580922432e+00,-4.417753289123255378e+00,-1.839049861779853412e+00
2.100000000000000000e+01,6.803999732632484587e+00,-3.247456227008261642e+00,-2.074713597186864877e+00
2.250000000000000000e+01,6.840359450964551336e+00,-2.387010300718924061e+00,-2.388043498338848991e+00
2.400000000000000000e+01,6.805542355383296993e+00,-2.075354804950809928e+00,-3.248429311071221015e+00
2.550000000000000000e+01,6.723274216876182763e+00,-1.840919603105832136e+00,-4.413006395753828137e+00
2.700000000000000000e+01,6.567031145694902428e+00,-1.210886029207877801e+00,-5.207506172290322866e+00
2.850000000000000000e+01,6.184846257801903668e+00,-4.422036341456012098e-01,-5.495837759263746847e+00
3.000000000000000000e+01,5.742633781861056441e+00,9.031706147093069084e-03,-5.736393894777648939e+00
3.150000000000000000e+01,5.514963739397471087e+00,4.572807005286945725e-01,-6.186109948610641673e+00
3.300000000000000000e+01,5.229759817916566078e+00,1.220168072595070319e+00,-6.561582126282937466e+00
