Angle,Phase A,Phase B,Phase C
-1.879999999999999893e+00,-2.423330405727186221e-01,-5.542319082873772729e+00,6.087905161108722041e+00
-3.800000000000000044e-01,-9.175431965989699901e-02,-5.681116909943530580e+00,5.865182599002872976e+00
1.120000000000000107e+00,3.088782515288113206e-01,-6.097477883374799568e+00,5.574500107499769541e+00
2.620000000000000107e+00,1.011883356473558759e+00,-6.509121151276302086e+00,5.351696032219234844e+00
4.120000000000000107e+00,1.726175875557750761e+00,-6.709250630322312503e+00,4.692368333389959290e+00
5.620000000000000107e+00,2.039794317330898998e+00,-6.808636681328936291e+00,3.548619222754464175e+00
7.120000000000000107e+00,2.268403972251714862e+00,-6.848366359230613654e+00,2.553552131390983693e+00
8.619999999999999218e+00,2.982123016702725060e+00,-6.805932000173929630e+00,2.122744316338989190e+00
1.011999999999999922e+01,4.139914763961446198e+00,-6.726396882571925140e+00,1.931717806716178210e+00
1.161999999999999922e+01,5.083791774797666640e+00,-6.616769787038304429e+00,1.415335679022829085e+00
1.311999999999999922e+01,5.468955710582732443e+00,-6.297368940255108072e+00,6.304334086145776395e-01
1.461999999999999922e+01,5.663420643260495879e+00,-5.834468373078773418e+00,9.974337477579826861e-02
1.612000000000000099e+01,6.065149052067494218e+00,-5.538648063768738972e+00,-2.953104800533547514e-01
1.762000000000000099e+01,6.489928843524508828e+00,-5.317814087093030828e+00,-1.002716820627231664e+00
1.912000000000000099e+01,6.696097175855152628e+00,-4.673490156904906989e+00,-1.719970222515172953e+00
2.062000000000000099e+01,6.782744197413705045e+00,-3.541173723717302657e+00,-2.034502723305375405e+00
2.212000000000000099e+01,6.831781915663471594e+00,-2.551176436268791647e+00,-2.261339273199362676e+00
2.362000000000000099e+01,6.818021429269085054e+00,-2.121033615347289292e+00,-2.977409369768350356e+00
2.512000000000000099e+01,6.754388608359262136e+00,-1.929009601801878970e+00,-4.133145277318044819e+00
2.662000000000000099e+01,6.628278100972106124e+00,-1.406572488689785461e+00,-5.064190285781808853e+00
2.812000000000000099e+01,6.298357318612683109e+00,-6.151803441962059305e-01,-5.447441512465756475e+00
2.962000000000000099e+01,5.840006554929373372e+00,-8.101994634850716304e-02,-5.650796660385841719e+00
3.112000000000000099e+01,5.556602103330933851e+00,3.140947777014793663e-01,-6.067461814009115884e+00
3.261999999999999744e+01,5.339375673049669757e+00,1.014648023515005715e+00,-6.490065243118603000e+00
