발생토크,0,34,68,102,136,170,204,238,272,306,340
90,-1.8,26.5,54.2,81.2,107.2,132.0,153.9,178.0,195.0,220.0,240.0
95,-2.0,26.8,56.2,85.5,114.6,141.6,167.3,194.0,214.0,238.0,259.0
100,-2.1,27.2,57.9,90.0,120.9,151.2,178.8,207.0,232.0,255.0,280.0
105,-1.9,27.0,58.9,92.6,126.2,158.9,189.9,220.0,247.0,272.0,298.0
110,-2.1,26.7,59.6,95.3,130.5,165.3,198.9,230.0,260.0,288.0,315.0
115,-2.0,26.5,59.7,96.1,133.2,169.9,206.0,239.8,271.2,300.0,330.0
120,-2.0,25.5,58.9,95.9,134.4,172.8,210.8,247.2,280.9,312.0,345.0
125,-2.1,24.5,57.4,94.6,134.3,173.4,212.3,250.7,287.3,321.8,355.0
130,-1.9,23.0,54.8,91.3,131.4,171.2,211.4,251.2,289.3,326.1,360.6
135,-2.0,21.4,51.9,87.6,126.9,166.8,207.0,247.0,286.3,324.8,361.4
140,-2.1,19.8,48.3,81.8,120.1,158.9,198.7,238.4,278.4,317.2,354.8
145,-2.1,17.3,43.8,75.7,109.9,148.4,186.3,225.4,264.5,302.9,340.1
150,-2.1,15.0,38.2,67.3,99.7,135.0,170.3,207.7,243.8,281.0,317.1
155,-2.0,12.4,32.8,57.8,86.5,117.2,149.7,183.2,217.6,250.5,284.3
160,-1.9,9.6,26.2,47.4,71.6,97.7,125.7,154.4,184.1,213.3,243.1
165,-2.1,7.2,19.6,35.6,54.6,75.2,97.5,120.2,144.4,168.4,192.4
170,-2.1,4.2,12.6,23.5,36.2,51.1,66.5,82.3,99.0,116.0,133.4
175,-2.1,0.6,4.4,10.3,17.1,24.7,32.4,41.9,50.6,59.9,69.4
180,-1.8,-2.7,-2.9,-2.9,-3.0,-2.7,-2.3,-1.8,-0.6,0.3,1.2
