q축자속,0,34,68,102,136,170,204,238,272,306,340
90,0.00,53.96,104.10,141.29,166.96,185.54,205.43,223.55,241.48,253.39,263.44
95,0.00,54.15,104.35,141.80,167.71,186.52,204.82,222.80,240.42,252.22,261.91
100,0.00,54.45,103.99,141.63,167.73,186.95,203.52,221.84,239.10,251.07,260.39
105,0.00,53.61,102.67,140.10,166.86,186.28,202.35,220.63,235.67,249.13,258.88
110,0.00,53.69,100.61,138.02,164.82,184.84,200.56,216.99,232.27,245.10,255.29
115,0.00,51.73,97.52,134.48,161.59,181.96,198.51,212.54,228.01,240.56,250.66
120,0.00,50.69,95.27,131.23,157.78,178.35,194.72,208.41,222.28,233.95,246.07
125,0.00,48.05,90.77,125.25,152.32,173.08,189.91,203.71,215.29,227.95,239.41
130,0.00,46.29,85.99,119.21,146.06,166.05,183.02,197.19,209.14,219.27,232.33
135,0.00,43.17,79.07,111.80,137.63,158.14,174.85,188.74,200.64,211.17,220.15
140,0.00,40.00,73.89,103.57,127.51,147.51,164.43,178.54,190.41,200.65,209.66
145,0.00,35.70,67.46,93.51,116.69,136.03,151.80,165.84,176.73,187.17,196.58
150,0.00,32.47,59.20,83.85,104.52,122.49,137.31,150.10,161.03,170.97,180.04
155,0.00,28.67,51.69,73.19,91.06,106.53,119.72,131.51,142.34,151.64,159.79
160,0.00,24.79,43.59,59.81,75.66,89.04,100.65,110.69,120.14,128.22,135.16
165,0.00,20.17,34.03,47.55,59.29,69.65,78.51,87.11,94.26,100.51,106.69
170,0.00,15.42,24.91,33.96,42.02,49.45,55.88,61.22,66.45,70.94,74.83
175,0.00,10.60,15.95,20.22,24.15,27.81,31.80,34.61,37.00,38.97,41.68
180,0.00,6.20,6.16,6.56,6.20,6.42,6.28,6.12,6.32,6.28,6.51
#https://blog.naver.com/acorn999/224004290026
